,WineName,Type,Elaborate,Body,Acidity,Code,Country,RegionName,WineryName,ABV,Rating,Grapes,Harmonize
0,Al Poggio Chardonnay di Toscana,White,Varietal/100%,Medium-bodied,High,nan,Italy,Toscana,Castello di Ama,13.0,3.566666666666667,['Chardonnay'],nan
1,Além do Rio Branco,White,Assemblage/Blend,Medium-bodied,High,PT,Portugal,Lisboa,nan,9.5,4.071428571428571,"['Malvasia', 'Seara Nova', 'Arinto', 'Fernão Pires']","['Pasta', 'Grilled', 'Shellfish', 'Lean Fish']"
2,Bandol Cuvée Spéciale La Louffe,Red,Assemblage/Blend,Full-bodied,Medium,FR,France,Bandol,Domaine Tempier,14.0,4.0,"['Mourvedre', 'Grenache', 'Cinsault']","['Beef', 'Veal', 'Lamb', 'Maturated Cheese', 'Hard Cheese']"
3,Barbera d'Alba,Red,Varietal/100%,Medium-bodied,Medium,IT,Italy,Barbera d'Alba,Filippo Gallino,15.0,3.8125,['Barbera'],"['Pasta', 'Veal', 'Pork', 'Game Meat', 'Poultry']"
4,Bardolino Classico,Red,nan,Full-bodied,Medium,nan,Italy,Bardolino Classico,nan,12.5,2.7142857142857144,"['Corvina', 'Rondinella', 'Molinara']",nan
5,Barolo,Red,Varietal/100%,Full-bodied,High,IT,Italy,Barolo,Francesco Scanavino,14.0,3.9285714285714284,['Nebbiolo'],"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
6,Barolo Riserva,Red,Varietal/100%,Full-bodied,High,IT,Italy,Barolo,nan,14.5,3.625,['Nebbiolo'],"['Beef', 'Pasta', 'Lamb', 'Game Meat', 'Hard Cheese']"
7,Barrel Select Fumé Blanc,White,Varietal/100%,Medium-bodied,High,US,United States,New Mexico,Aridus,12.0,4.4375,['Sauvignon Blanc'],nan
8,Belcaro Vin Santo del Chianti Classico,Dessert,Assemblage/Blend,Medium-bodied,High,IT,Italy,Vin Santo del Chianti Classico,nan,15.5,3.9,"['Trebbiano', 'Malvasia']",nan
9,Black Label Nik Weis Saar Riesling,White,Varietal/100%,Medium-bodied,High,DE,Germany,Mosel,nan,11.5,3.7857142857142856,['Riesling'],"['Pork', 'Shellfish', 'Spicy Food', 'Poultry', 'Cured Meat']"
10,Brachetto d'Acqui,Sparkling,Varietal/100%,Medium-bodied,High,IT,Italy,Brachetto d'Acqui,nan,6.0,4.666666666666667,['Brachetto'],nan
