,WineName,Type,Elaborate,Body,Acidity,Code,Country,RegionName,WineryName,PC1,PC2,PC3,PC4,PC5,PC8,PC9,PC12,PC25,PC30,PC31,PC37,PC39,PC41,PC55,PC61
0,Al Poggio Chardonnay di Toscana,5,7,2,0,15,9,67,16,-0.748810625030935,-0.22195130252602102,0.18306119037402777,0.9122226978069791,-0.2715455387985951,-0.2013688612515222,-0.4638892837905503,-0.33833039391834874,0.06877424080212749,-0.9468848887547815,-0.6127484865912202,0.03235695977435851,-0.08643578851136795,-0.24541748829066387,-0.7868005927305277,0.6206720139953654
1,Além do Rio Branco,5,0,2,0,11,11,32,76,-1.430809976074782,6.192972467158335,-4.750150392829592,-4.614478287227617,-0.8225826182328777,-11.671373416551152,-6.090409944522277,1.1560682550405512,4.027179430110211,0.19250843988128796,2.6776319772893893,-1.1657738272846419,0.12834685522471798,0.11769751248858824,0.4076676373755867,-0.004577658218967051
2,Bandol Cuvée Spéciale La Louffe,2,0,0,2,7,6,5,31,2.2673073212797483,-0.34121865310638994,-0.5966240712105062,-1.5720416334359721,0.014868039200097416,0.5178969928413998,-1.7174171133444975,0.510357744957631,-3.1608702302147624,-0.2740094073046638,3.8004625911892718,1.4684010618984744,-0.25773029689345084,-1.7526446796005157,0.408230155733059,1.0724172739132067
3,Barbera d'Alba,2,7,2,2,9,9,7,36,0.6770507224282845,-0.9067059643172646,-1.101865643449662,-1.5842980618935956,0.6632425047065702,-1.1264579185121166,0.5469842149173778,-0.8753688729029444,-0.5681150529612695,1.446194730643258,-1.7289476829039072,-0.19242365142286885,-0.8495895169794523,-0.44130396054716015,-1.3664192091679301,-0.28216517263298097
4,Bardolino Classico,2,9,0,2,15,9,8,76,-1.5070587191395606,0.1883973020493251,1.060819764730007,1.5368767459444221,-0.42816142330287005,0.46523837754871583,-1.4362895524259238,3.134471946116998,-0.10087359913595699,0.9627873018601176,0.5435189696273391,-0.3020489117775745,-0.296661060776563,-0.03524748637617263,-0.17813888814746054,-0.1918989250100827
5,Barolo,2,7,0,0,9,9,9,37,-0.07978927079449397,-0.6152736958278355,-0.47636187730550794,-1.543565752968151,0.1408353412010113,2.083296855998604,-0.5663352145186662,2.513344926551834,-0.18416496076641153,-0.6891612759188578,-0.1866544842203412,0.35684900124051444,-0.681350075640912,-0.7680650321555369,-1.349734547158915,0.18428452351447347
6,Barolo Riserva,2,7,0,0,9,9,9,76,1.0680618645111049,-0.5387571837704757,-0.499176713723794,-1.3891977400942985,0.2264235396057115,1.2915762325151185,-0.29957834055596494,1.2030425302822785,-0.385159985008082,-0.15951223732508724,0.04393245743340714,0.17293734610481656,-0.34294292718407204,-0.45481287738334275,-1.9764549191376455,0.36890104993287165
7,Barrel Select Fumé Blanc,5,7,2,0,13,15,47,2,-0.4850199991206175,-0.15432773047579917,-0.15693127621986763,0.29779904061716567,0.12020772084177966,0.15805951549620045,-0.6499614145254453,-0.03695887983275567,-0.532470963529598,-0.938216461796882,0.04039538359369993,1.1113589625355564,0.4550589501748489,-0.029805014875330906,-0.32260211205548683,0.019617425433731222
8,Belcaro Vin Santo del Chianti Classico,0,0,2,0,9,9,70,76,-0.7961857265635914,-0.2981937542482722,0.41629310734792035,0.6970707198827727,-0.005107109146473187,0.23578399247848134,-0.580941934367971,0.6411829267386111,-0.07655426864880255,-3.574707778670175,-2.1574891259653732,2.0259531290780934,-2.599444759267799,10.022503381611575,0.9072070635445421,0.11878655701791274
9,Black Label Nik Weis Saar Riesling,5,7,2,0,5,7,43,76,-1.3114957535773004,1.50710928692078,1.5757395334452493,-0.050428918070043724,-2.605134816833567,-1.6267004726249508,2.11715092484794,3.8996526290985067,-0.6322767764667881,-0.6797340767255806,2.63388568353611,-2.0380206291133405,1.0718212181911357,0.05044805845368152,1.2997581248355685,-0.20098236424229757
10,Brachetto d'Acqui,4,7,2,0,9,9,10,76,-0.4066161049428321,-0.2185241620121123,-0.23213161330765764,-0.28719768652368194,-0.007355696852925519,0.2529227712441045,-0.8062764010716689,-0.2754612647785058,0.2912496129868621,-1.2244966274588576,-1.4426488452008124,0.7745113624880703,0.4756428345028942,-0.3965820150826293,-2.4880217269888276,-1.6440567281400895
11,Cabardès Rosé,3,4,2,0,7,6,11,18,-1.4365565727263763,3.1267360132505697,0.7326257810124326,0.006884945961552908,-3.839826207334158,0.2566256813324586,-3.4605066274370593,1.2202699769966017,-4.350130200306341,0.1857955198048759,2.115193034416413,-3.9074687330132747,0.8617513156009727,1.4507941610939488,-0.2759040453647916,-0.31355522231027577
12,Cabernet Franc,2,7,2,2,4,5,37,76,-0.6592193991274751,-0.33675885370596326,-0.06190933198154343,0.8097049860090866,0.06356156871401358,-0.1024373615592529,-0.46461521160177244,-0.07800891512428143,-0.2532644376185795,-0.7374176190279543,-1.2114300618750953,-1.1024077528130847,-0.04501474326071046,-0.19841906822521596,-0.1803479217986435,-0.243142980332942
13,Cabernet Sauvignon,2,7,3,2,13,15,45,75,2.1567805461215896,-0.4965761289847344,-0.2656393313345539,-1.2967877852493161,0.3491181062551542,0.3240238463899857,-0.09274175546081596,0.42297906031201427,-0.08592724782137669,0.3457316819012979,0.6144315660371512,0.6855058483173639,-0.22146588222139382,-0.18676422759785316,-0.7886107591589154,-3.6319084321845065
14,Cabernet Sauvignon-Shiraz,2,9,3,2,1,1,64,62,-0.8850304897950692,-0.370146328544134,0.2136203135106673,1.0288328659532582,-0.20161866535906467,0.3792862004176598,-0.8119668464833818,0.7959172998019423,-0.42754496934554076,-2.359807634941173,-0.7892505414456213,-0.7066526177668802,-0.5994828732340387,-0.561086062395445,0.1445342465106888,0.007287817529221856
15,Calda Bordaleza Tinto,2,1,0,2,11,11,4,11,-0.5808916198541957,-0.40179069300268155,0.3786377800157732,-0.15597325056281505,-0.25930658731336925,2.0447704729950265,0.535733744448441,0.3568469568693395,2.329272888670954,-1.0963058169480262,-1.6992071417628307,0.6478265663870706,-0.31530283790287184,-0.8536082239147932,-0.1988824199760662,0.14356342565718133
16,Cerequio Barolo,2,7,0,0,9,9,9,68,-0.10198795255999424,-0.587225393658457,-0.4270145657081598,-1.5816821707479765,0.11573229483245369,2.0866629154990197,-0.510269761515819,2.592447490423478,-0.1797952197297443,-0.7159450886884313,-0.1926210704699723,0.34307191946519033,-0.7091590070058343,-0.7702432881439235,-1.358048119833567,0.1612185835962914
